,date,open,high,low,close,volume
0,2020-06-22 09:15:00+05:30,1273.0,1273.15,1264.35,1265.2,6500
1,2020-06-22 09:16:00+05:30,1265.0,1269.35,1264.5,1268.95,4098
2,2020-06-22 09:17:00+05:30,1270.0,1271.4,1268.3,1271.4,4192
3,2020-06-22 09:18:00+05:30,1270.05,1273.0,1270.0,1272.9,1985
4,2020-06-22 09:19:00+05:30,1272.65,1272.65,1271.0,1272.4,1437
5,2020-06-22 09:20:00+05:30,1273.0,1276.05,1273.0,1275.25,5685
6,2020-06-22 09:21:00+05:30,1275.25,1278.8,1273.2,1274.0,7973
7,2020-06-22 09:22:00+05:30,1274.0,1274.85,1270.5,1273.0,6428
8,2020-06-22 09:23:00+05:30,1273.0,1273.0,1272.0,1272.4,528
9,2020-06-22 09:24:00+05:30,1272.4,1273.95,1272.0,1272.7,2136
10,2020-06-22 09:25:00+05:30,1272.7,1273.0,1272.0,1273.0,939
11,2020-06-22 09:26:00+05:30,1273.0,1277.0,1272.5,1277.0,7793
12,2020-06-22 09:27:00+05:30,1277.0,1277.65,1275.25,1276.6,2527
13,2020-06-22 09:28:00+05:30,1276.6,1276.6,1274.0,1274.0,1381
14,2020-06-22 09:29:00+05:30,1273.0,1274.5,1272.15,1274.5,1770
15,2020-06-22 09:30:00+05:30,1274.5,1275.55,1271.1,1272.1,5143
16,2020-06-22 09:31:00+05:30,1272.25,1273.55,1272.0,1272.6,2097
17,2020-06-22 09:32:00+05:30,1272.6,1272.6,1271.4,1272.0,1557
18,2020-06-22 09:33:00+05:30,1272.15,1273.9,1271.0,1271.35,4743
19,2020-06-22 09:34:00+05:30,1272.85,1272.85,1271.5,1272.8,2438
20,2020-06-22 09:35:00+05:30,1272.8,1272.8,1271.5,1272.0,1756
21,2020-06-22 09:36:00+05:30,1272.0,1273.65,1271.75,1272.5,2558
22,2020-06-22 09:37:00+05:30,1273.2,1273.55,1272.05,1272.3,2095
23,2020-06-22 09:38:00+05:30,1272.0,1272.5,1272.0,1272.5,936
24,2020-06-22 09:39:00+05:30,1272.5,1272.5,1272.05,1272.45,289
25,2020-06-22 09:40:00+05:30,1272.85,1273.2,1272.05,1272.3,384
26,2020-06-22 09:41:00+05:30,1272.8,1274.8,1272.25,1273.05,1299
27,2020-06-22 09:42:00+05:30,1274.45,1274.85,1273.25,1274.55,1202
28,2020-06-22 09:43:00+05:30,1274.55,1275.6,1273.85,1274.35,4740
29,2020-06-22 09:44:00+05:30,1274.4,1274.95,1274.0,1274.15,526
30,2020-06-22 09:45:00+05:30,1274.15,1278.45,1274.15,1278.45,5177
31,2020-06-22 09:46:00+05:30,1278.0,1278.45,1276.0,1276.0,1907
32,2020-06-22 09:47:00+05:30,1276.0,1276.6,1275.0,1276.0,1522
33,2020-06-22 09:48:00+05:30,1276.35,1277.5,1276.0,1277.2,1317
34,2020-06-22 09:49:00+05:30,1277.0,1277.0,1275.0,1275.9,939
35,2020-06-22 09:50:00+05:30,1275.25,1276.45,1272.2,1272.2,2701
36,2020-06-22 09:51:00+05:30,1272.75,1273.15,1272.0,1272.5,2002
37,2020-06-22 09:52:00+05:30,1272.45,1273.0,1271.0,1272.0,2924
38,2020-06-22 09:53:00+05:30,1272.0,1272.0,1270.0,1270.05,2858
39,2020-06-22 09:54:00+05:30,1270.05,1271.5,1270.0,1270.2,1604
40,2020-06-22 09:55:00+05:30,1270.2,1270.95,1265.8,1266.95,4174
41,2020-06-22 09:56:00+05:30,1266.95,1270.2,1266.95,1268.55,2440
42,2020-06-22 09:57:00+05:30,1268.55,1269.45,1268.3,1269.0,1055
43,2020-06-22 09:58:00+05:30,1269.0,1269.0,1265.6,1267.35,3928
44,2020-06-22 09:59:00+05:30,1267.35,1268.45,1267.05,1267.9,1377
45,2020-06-22 10:00:00+05:30,1267.9,1268.45,1267.0,1267.0,1997
46,2020-06-22 10:01:00+05:30,1267.0,1268.3,1266.95,1268.0,2315
47,2020-06-22 10:02:00+05:30,1268.0,1269.15,1267.0,1268.0,1373
48,2020-06-22 10:03:00+05:30,1268.0,1268.0,1265.0,1265.65,5524
49,2020-06-22 10:04:00+05:30,1266.0,1267.5,1265.8,1267.35,2297
50,2020-06-22 10:05:00+05:30,1267.35,1268.85,1267.2,1268.35,2558
51,2020-06-22 10:06:00+05:30,1268.3,1268.3,1266.6,1267.55,1580
52,2020-06-22 10:07:00+05:30,1267.6,1268.6,1267.35,1268.0,747
53,2020-06-22 10:08:00+05:30,1268.0,1268.55,1267.75,1267.75,1042
54,2020-06-22 10:09:00+05:30,1267.75,1268.45,1267.0,1267.0,471
55,2020-06-22 10:10:00+05:30,1267.0,1267.0,1265.5,1265.5,1506
56,2020-06-22 10:11:00+05:30,1265.5,1266.15,1265.0,1266.0,5172
57,2020-06-22 10:12:00+05:30,1266.0,1267.0,1261.5,1261.5,8385
58,2020-06-22 10:13:00+05:30,1262.0,1263.3,1261.35,1262.0,3516
59,2020-06-22 10:14:00+05:30,1262.0,1265.0,1261.9,1264.5,3966
60,2020-06-22 10:15:00+05:30,1264.5,1264.95,1262.05,1263.0,893
61,2020-06-22 10:16:00+05:30,1263.2,1264.8,1262.3,1264.1,561
62,2020-06-22 10:17:00+05:30,1264.4,1265.4,1263.65,1264.35,1653
63,2020-06-22 10:18:00+05:30,1264.5,1265.7,1263.15,1265.7,1945
64,2020-06-22 10:19:00+05:30,1265.7,1265.9,1262.3,1262.95,1800
65,2020-06-22 10:20:00+05:30,1262.95,1263.95,1262.9,1263.35,796
66,2020-06-22 10:21:00+05:30,1263.35,1264.75,1263.0,1263.6,977
67,2020-06-22 10:22:00+05:30,1263.6,1264.75,1263.6,1264.75,430
68,2020-06-22 10:23:00+05:30,1264.75,1265.0,1264.0,1264.85,1263
69,2020-06-22 10:24:00+05:30,1264.85,1265.0,1264.2,1264.85,660
70,2020-06-22 10:25:00+05:30,1264.5,1266.0,1264.5,1264.8,1284
