GAIL
GEPIL
GET&D
GHCL
GMRINFRA
GALAXYSURF
GARFIBRES
GAYAPROJ
GICRE
GILLETTE
GLAXO
GLENMARK
GODFRYPHLP
GODREJAGRO
GODREJCP
GODREJIND
GODREJPROP
GRANULES
GRAPHITE
GRASIM
GESHIP
GREAVESCOT
GRINDWELL
GUJALKALI
GUJGASLTD
GMDCLTD
GNFC
GPPL
GSFC
GSPL
GULFOILLUB
HEG
HCLTECH
HDFCAMC
HDFCBANK
HDFCLIFE
HFCL
HATSUN
HAVELLS
HEIDELBERG
HERITGFOOD
HEROMOTOCO
HEXAWARE
HSCL
HIMATSEIDE
HINDALCO
HAL
HINDCOPPER
HINDPETRO
HINDUNILVR
